d,cdd90dma
2023-07-12,7998805.6
2023-04-02,8023716.039
2017-05-21,10491275.772
2022-12-03,10289069.044
2023-04-21,7761415.073
2022-12-07,10374195.967
2023-04-23,7731586.195
2023-07-17,7978794.318
2021-11-11,8710908.394
2023-06-14,8341582.911
2023-06-15,8370642.174
2023-07-18,7962785.477
2021-12-10,9923905.12
2023-02-06,10457620.644
2022-03-13,9363222.129
2022-03-23,9254018.308
2022-03-25,9807717.903
2022-04-30,10036009.331
2022-05-04,8250509.937
2022-05-30,8979895.493
2022-06-04,9257980.847
2022-07-19,9793397.921
2022-07-20,9465502.587
2022-07-24,9881960.173
2022-07-28,9832713.394
2022-07-29,9831629.611
2022-09-22,6324744.072
2022-09-26,6131906.268
2022-10-26,6028924.567
2022-10-27,6109277.168
2023-06-16,8388328.121
2022-10-31,6127313.191
2022-11-24,10471371.17
2022-11-28,10209299.224
2022-11-29,10261103.117
2022-12-08,10390293.772
2023-02-07,10326681.069
2023-02-13,9318962.635
2023-02-15,8855099.759
2023-02-16,8110020.207
2023-02-20,7814826.152
2023-07-19,7998917.168
2023-03-27,7424064.951
2023-07-07,8210604.297
2023-03-31,8045784.402
2023-04-01,8051418.249
2023-07-11,8003304.936
2023-07-28,8821392.383
2024-06-21,16018209.975
2015-08-13,3230069.169
2016-05-10,5562315.788
2016-10-25,4439702.847
2021-11-18,9298024.857
2021-11-19,9304598.126
2021-12-04,9721537.738
2021-12-08,9844428.042
2024-08-29,11384746.006
2012-11-24,1957654.434
2021-11-17,9272607.794
2022-11-27,10201894.128
2022-03-15,9220649.174
2023-02-23,6949385.965
2022-03-26,9798309.181
2022-07-30,9808963.356
2022-06-06,9119489.586
2023-04-04,8050170.578
2021-11-16,9152817.9
2023-02-09,9785497.354
2022-09-30,6067267.458
2022-10-03,6000038.085
2023-04-25,7707066.494
2016-05-17,5525042.308
2021-12-06,9772443.09
2021-12-12,9942840.272
2022-01-09,9555867.74
2012-12-10,1931238.894
2023-02-14,8978436.716
2022-01-10,9438365.659
2022-01-11,9426527.2
2022-03-27,9772012.483
2022-03-30,10021005.654
