d,token_symbol,precio,anio,mes,nombre_mes,dia,num_dia_semana,nombre_dia,num_semana_anio,trimestre,tasa_cambio,tasa_cambio_mensual,tasa_cambio_trimestral
2017-11-09,eth,320.8840026855469,2017,11,Noviembre,9,4,Jueves,45,4,,,
2017-11-10,eth,299.25299072265625,2017,11,Noviembre,10,5,Viernes,45,4,-6.741068978776143,,
2017-11-11,eth,314.6809997558594,2017,11,Noviembre,11,6,Sábado,45,4,5.155507049719543,,
2017-11-12,eth,307.9079895019531,2017,11,Noviembre,12,7,Domingo,45,4,-2.15234166001792,,
2017-11-13,eth,316.71600341796875,2017,11,Noviembre,13,1,Lunes,46,4,2.8605993401674246,,
2017-11-14,eth,337.6310119628906,2017,11,Noviembre,14,2,Martes,46,4,6.603710680612629,,
2017-11-15,eth,333.35699462890625,2017,11,Noviembre,15,3,Miércoles,46,4,-1.2658841109222885,,
2017-11-16,eth,330.92401123046875,2017,11,Noviembre,16,4,Jueves,46,4,-0.7298432124233423,,
2017-11-17,eth,332.3940124511719,2017,11,Noviembre,17,5,Viernes,46,4,0.44421110914172335,,
2017-11-18,eth,347.61199951171875,2017,11,Noviembre,18,6,Sábado,46,4,4.578297589756475,,
2017-11-19,eth,354.385986328125,2017,11,Noviembre,19,7,Domingo,46,4,1.9487206500125032,,
2017-11-20,eth,366.7300109863281,2017,11,Noviembre,20,1,Lunes,47,4,3.483214668306278,,
2017-11-21,eth,360.4010009765625,2017,11,Noviembre,21,2,Martes,47,4,-1.7257954953682764,,
2017-11-22,eth,380.6520080566406,2017,11,Noviembre,22,3,Miércoles,47,4,5.61902076442764,,
2017-11-23,eth,410.1659851074219,2017,11,Noviembre,23,4,Jueves,47,4,7.753532472207425,,
2017-11-24,eth,474.9110107421875,2017,11,Noviembre,24,5,Viernes,47,4,15.785079208313423,,
2017-11-25,eth,466.2760009765625,2017,11,Noviembre,25,6,Sábado,47,4,-1.8182374319202,,
2017-11-26,eth,471.3299865722656,2017,11,Noviembre,26,7,Domingo,47,4,1.0839042938341592,,
2017-11-27,eth,480.3550109863281,2017,11,Noviembre,27,1,Lunes,48,4,1.9147995398503648,,
2017-11-28,eth,472.9020080566406,2017,11,Noviembre,28,2,Martes,48,4,-1.5515613992209687,,
2017-11-29,eth,427.52301025390625,2017,11,Noviembre,29,3,Miércoles,48,4,-9.595856441637107,,
2017-11-30,eth,447.114013671875,2017,11,Noviembre,30,4,Jueves,48,4,4.582444207233105,,
2017-12-01,eth,466.5400085449219,2017,12,Diciembre,1,5,Viernes,48,4,4.344751960134952,,
2017-12-02,eth,463.4490051269531,2017,12,Diciembre,2,6,Sábado,48,4,-0.6625376948076078,,
2017-12-03,eth,465.8529968261719,2017,12,Diciembre,3,7,Domingo,48,4,0.5187176307693608,,
2017-12-04,eth,470.2040100097656,2017,12,Diciembre,4,1,Lunes,49,4,0.9339884498408058,,
2017-12-05,eth,463.281005859375,2017,12,Diciembre,5,2,Martes,49,4,-1.472340516672077,,
2017-12-06,eth,428.5880126953125,2017,12,Diciembre,6,3,Miércoles,49,4,-7.488542099779771,,
2017-12-07,eth,434.4079895019531,2017,12,Diciembre,7,4,Jueves,49,4,1.3579420408984078,,
2017-12-08,eth,456.031005859375,2017,12,Diciembre,8,5,Viernes,49,4,4.977582567533467,,
2017-12-09,eth,473.50201416015625,2017,12,Diciembre,9,6,Sábado,49,4,3.8311009725879863,47.56173888299715,
2017-12-10,eth,441.72100830078125,2017,12,Diciembre,10,7,Domingo,49,4,-6.711905104721572,47.60788429685654,
2017-12-11,eth,515.135986328125,2017,12,Diciembre,11,1,Lunes,50,4,16.620214263694976,63.70101363850556,
2017-12-12,eth,651.4310302734375,2017,12,Diciembre,12,2,Martes,50,4,26.45807079346558,111.56678374183771,
2017-12-13,eth,702.7670288085938,2017,12,Diciembre,13,3,Miércoles,50,4,7.8804963456542865,121.8918593390922,
2017-12-14,eth,695.8159790039062,2017,12,Diciembre,14,4,Jueves,50,4,-0.9890973138668269,106.08769761954929,
2017-12-15,eth,684.447998046875,2017,12,Diciembre,15,5,Viernes,50,4,-1.6337625608002115,105.31982501486254,
2017-12-16,eth,696.208984375,2017,12,Diciembre,16,6,Sábado,50,4,1.718317003144998,110.38333899867187,
2017-12-17,eth,719.9749755859375,2017,12,Diciembre,17,7,Domingo,50,4,3.4136289166496026,116.6028714767239,
2017-12-18,eth,794.64501953125,2017,12,Diciembre,18,1,Lunes,51,4,10.37119989962758,128.6011474423974,
2017-12-19,eth,826.822998046875,2017,12,Diciembre,19,2,Martes,51,4,4.049352569353082,133.31142594372284,
2017-12-20,eth,819.0859985351562,2017,12,Diciembre,20,3,Miércoles,51,4,-0.9357504000245709,123.34850543924864,
2017-12-21,eth,821.06298828125,2017,12,Diciembre,21,4,Jueves,51,4,0.24136534498566675,127.8192863106518,
2017-12-22,eth,674.8599853515625,2017,12,Diciembre,22,5,Viernes,51,4,-17.80655138721301,77.2905359929545,
2017-12-23,eth,719.3870239257812,2017,12,Diciembre,23,6,Sábado,51,4,6.59796691768928,75.38924485348898,
2017-12-24,eth,694.1480102539062,2017,12,Diciembre,24,7,Domingo,51,4,-3.5084054663847897,46.16380638745283,
2017-12-25,eth,765.833984375,2017,12,Diciembre,25,1,Lunes,52,4,10.32718859121593,64.24477836539883,
2017-12-26,eth,773.8359985351562,2017,12,Diciembre,26,2,Martes,52,4,1.0448758247111112,64.18136349924546,
2017-12-27,eth,762.8419799804688,2017,12,Diciembre,27,3,Miércoles,52,4,-1.4207168670750336,58.80795714280178,
2017-12-28,eth,737.0230102539062,2017,12,Diciembre,28,4,Jueves,52,4,-3.3845764134825873,55.851106084884975,
2017-12-29,eth,753.5919799804688,2017,12,Diciembre,29,5,Viernes,52,4,2.2480939531120514,76.26933800192646,
2017-12-30,eth,717.2570190429688,2017,12,Diciembre,30,6,Sábado,52,4,-4.821569483587352,60.41926602849548,
2017-12-31,eth,756.7329711914062,2017,12,Diciembre,31,7,Domingo,52,4,5.503738701798966,62.20108829499078,
2018-01-01,eth,772.6409912109375,2018,1,Enero,1,1,Lunes,1,1,2.1021972908733533,66.71542773067061,
2018-01-02,eth,884.4439697265625,2018,1,Enero,2,2,Martes,1,1,14.470236473009223,89.85473438020695,
2018-01-03,eth,962.719970703125,2018,1,Enero,3,3,Miércoles,1,1,8.850306368278194,104.7451638456104,
2018-01-04,eth,980.9219970703125,2018,1,Enero,4,4,Jueves,1,1,1.8906875229661724,111.73369610755488,
2018-01-05,eth,997.719970703125,2018,1,Enero,5,5,Viernes,1,1,1.7124678295504125,132.79231829855544,
2018-01-06,eth,1041.6800537109375,2018,1,Enero,6,6,Sábado,1,1,4.406054233517298,139.793023812757,
2018-01-07,eth,1153.1700439453125,2018,1,Enero,7,7,Domingo,1,1,10.702901513492268,152.8709734927349,
2018-01-08,eth,1148.530029296875,2018,1,Enero,8,1,Lunes,2,1,-0.4023703765806075,142.56074841286713,
2018-01-09,eth,1299.739990234375,2018,1,Enero,9,2,Martes,2,1,13.165520890217387,194.2445493444456,
2018-01-10,eth,1255.8199462890625,2018,1,Enero,10,3,Miércoles,2,1,-3.3791407724088396,143.78416177842905,
2018-01-11,eth,1154.9300537109375,2018,1,Enero,11,4,Jueves,2,1,-8.033786441778833,77.29122501673842,
2018-01-12,eth,1273.199951171875,2018,1,Enero,12,5,Viernes,2,1,10.240438118388306,81.16956245519094,
2018-01-13,eth,1396.4200439453125,2018,1,Enero,13,6,Sábado,2,1,9.677984409284935,100.68812532077152,
2018-01-14,eth,1366.77001953125,2018,1,Enero,14,7,Domingo,2,1,-2.1232883717632767,99.68938815387484,
2018-01-15,eth,1291.9200439453125,2018,1,Enero,15,1,Lunes,3,1,-5.476413333357155,85.5649773185696,
2018-01-16,eth,1053.68994140625,2018,1,Enero,16,2,Martes,3,1,-18.44000359430501,46.35091178672219,
2018-01-17,eth,1014.25,2018,1,Enero,17,3,Miércoles,3,1,-3.7430310242511755,27.63560773316014,
2018-01-18,eth,1036.280029296875,2018,1,Enero,18,4,Jueves,3,1,2.172051200086278,25.33275341213057,
2018-01-19,eth,1039.0999755859375,2018,1,Enero,19,5,Viernes,3,1,0.2721220335564878,26.860912949830862,
2018-01-20,eth,1155.1500244140625,2018,1,Enero,20,6,Sábado,3,1,11.168323698851568,40.68957447858714,
2018-01-21,eth,1049.5799560546875,2018,1,Enero,21,7,Domingo,3,1,-9.139078572320013,55.52558735689712,
2018-01-22,eth,1003.260009765625,2018,1,Enero,22,1,Lunes,4,1,-4.413188916371514,39.460398422356135,
2018-01-23,eth,986.22900390625,2018,1,Enero,23,2,Martes,4,1,-1.697566502561354,42.077624561007674,
2018-01-24,eth,1058.780029296875,2018,1,Enero,24,3,Miércoles,4,1,7.356407599377568,38.25189935400286,
2018-01-25,eth,1056.030029296875,2018,1,Enero,25,4,Jueves,4,1,-0.2597328929434206,36.46690400755481,
2018-01-26,eth,1055.1700439453125,2018,1,Enero,26,5,Viernes,4,1,-0.08143569100351744,38.32091988072397,
2018-01-27,eth,1107.0699462890625,2018,1,Enero,27,6,Sábado,4,1,4.918629242893857,50.20832876136041,
2018-01-28,eth,1246.010009765625,2018,1,Enero,28,7,Domingo,4,1,12.550251584580941,65.34279064354142,
2018-01-29,eth,1182.3599853515625,2018,1,Enero,29,1,Lunes,5,1,-5.108307631175057,64.84467268499895,
2018-01-30,eth,1071.1300048828125,2018,1,Enero,30,2,Martes,5,1,-9.407454738556375,41.54662815820185,
2018-01-31,eth,1118.31005859375,2018,1,Enero,31,3,Miércoles,5,1,4.404699102430554,44.73863946061878,
2018-02-01,eth,1036.7900390625,2018,2,Febrero,1,4,Jueves,5,1,-7.289572234891606,17.225067336152144,
2018-02-02,eth,915.7849731445312,2018,2,Febrero,2,5,Viernes,5,1,-11.671125431276863,-4.8752491884337505,
2018-02-03,eth,964.0189819335938,2018,2,Febrero,3,6,Sábado,5,1,5.266957878053113,-1.7231762757082048,
2018-02-04,eth,834.6820068359375,2018,2,Febrero,4,7,Domingo,5,1,-13.416434481221195,-16.341054469651382,
2018-02-05,eth,697.9509887695312,2018,2,Febrero,5,1,Lunes,6,1,-16.381210682223525,-32.9975661640911,
2018-02-06,eth,793.1220092773438,2018,2,Febrero,6,2,Martes,6,1,13.635774150215973,-31.222458175911783,
2018-02-07,eth,757.0679931640625,2018,2,Febrero,7,3,Miércoles,6,1,-4.545834775929625,-34.083744103100535,135.93198377856126
2018-02-08,eth,817.8070068359375,2018,2,Febrero,8,4,Jueves,6,1,8.022927163784143,-37.07918406907932,173.28281828062674
2018-02-09,eth,883.864990234375,2018,2,Febrero,9,5,Viernes,6,1,8.077453830337443,-29.618494048753675,180.87650379911997
2018-02-10,eth,860.4149780273438,2018,2,Febrero,10,6,Sábado,6,1,-2.653121513593726,-25.500685062032915,179.4389906605155
2018-02-11,eth,814.6599731445312,2018,2,Febrero,11,7,Domingo,6,1,-5.31778340118092,-36.01476559948779,157.22096905517841
2018-02-12,eth,868.7069702148438,2018,2,Febrero,12,1,Lunes,7,1,6.634301285442423,-37.79042531067647,157.2947802289928
2018-02-13,eth,845.2579956054688,2018,2,Febrero,13,2,Martes,7,1,-2.6992962429639222,-38.15653083352238,153.55940004991103
2018-02-14,eth,923.5609741210938,2018,2,Febrero,14,3,Miércoles,7,1,9.26379625188114,-28.512528430111693,179.08551292093728
2018-02-15,eth,936.9760131835938,2018,2,Febrero,15,4,Jueves,7,1,1.452534206013456,-11.076686189761887,181.8871514182988
2018-02-16,eth,944.2100219726562,2018,2,Febrero,16,5,Viernes,7,1,0.7720591228886686,-6.905593101044493,171.62756846684312
2018-02-17,eth,974.114990234375,2018,2,Febrero,17,6,Sábado,7,1,3.167194539964835,-5.998864911512336,174.87401528694892
2018-02-18,eth,923.9210205078125,2018,2,Febrero,18,7,Domingo,7,1,-5.152776646470214,-11.08449213591568,151.93493655534417
2018-02-19,eth,943.864990234375,2018,2,Febrero,19,1,Lunes,8,1,2.158622791762088,-18.290700750048426,161.89299909734606
2018-02-20,eth,895.3709716796875,2018,2,Febrero,20,2,Martes,8,1,-5.137813040681349,-14.692447534408238,135.22034633440242
2018-02-21,eth,849.9710083007812,2018,2,Febrero,21,3,Miércoles,8,1,-5.070519909053717,-15.279090163342012,107.22610824936521
2018-02-22,eth,812.844970703125,2018,2,Febrero,22,4,Jueves,8,1,-4.3679181095690245,-17.5805043774201,71.15732259667273
2018-02-23,eth,864.1890258789062,2018,2,Febrero,23,5,Viernes,8,1,6.316586437308924,-18.378794275822774,85.3385171162487
2018-02-24,eth,840.5150146484375,2018,2,Febrero,24,6,Sábado,8,1,-2.739448259759092,-20.408038471399482,78.32835563063998
2018-02-25,eth,844.8099975585938,2018,2,Febrero,25,7,Domingo,8,1,0.5109941922873062,-19.936127602729915,75.87200679429131
2018-02-26,eth,869.3150024414062,2018,2,Febrero,26,1,Lunes,9,1,2.9006528040185664,-21.47605439427014,83.8256103021847
2018-02-27,eth,878.2650146484375,2018,2,Febrero,27,2,Martes,9,1,1.0295476532552472,-29.51380745218576,105.43105133144417
2018-02-28,eth,855.198974609375,2018,2,Febrero,28,3,Miércoles,9,1,-2.626318896272517,-27.67016938964739,91.2708947738289
2018-03-01,eth,872.2000122070312,2018,3,Marzo,1,4,Jueves,9,1,1.9879628136155958,-18.571974622029686,86.95074296571276
2018-03-02,eth,856.85302734375,2018,3,Marzo,2,5,Viernes,9,1,-1.7595717322276716,-23.379654796164175,84.88615098203334
2018-03-03,eth,857.2249755859375,2018,3,Marzo,3,6,Sábado,9,1,0.04340863955869523,-17.31932760840673,84.01190534914642
2018-03-04,eth,866.677978515625,2018,3,Marzo,4,7,Domingo,9,1,1.102744693506641,-5.362284386506966,84.31956343750132
2018-03-05,eth,853.6840209960938,2018,3,Marzo,5,1,Lunes,10,1,-1.4992832218705066,-11.445309999622022,84.26916066039243
2018-03-06,eth,816.9509887695312,2018,3,Marzo,6,2,Martes,10,1,-4.302883891829412,-2.124284208979166,90.61452130494136
2018-03-07,eth,752.8309936523438,2018,3,Marzo,7,3,Miércoles,10,1,-7.848695454027577,7.863016997735683,73.3004483907999
2018-03-08,eth,704.5960083007812,2018,3,Marzo,8,4,Jueves,10,1,-6.407146591767098,-11.161712818589331,54.50616279324998
2018-03-09,eth,728.916015625,2018,3,Marzo,9,5,Viernes,10,1,3.451624340431536,-3.718553391935797,53.94148151996099
2018-03-10,eth,686.8900146484375,2018,3,Marzo,10,6,Sábado,10,1,-5.7655477552551515,-16.008299157769823,55.50313472541772
2018-03-11,eth,723.3389892578125,2018,3,Marzo,11,7,Domingo,10,1,5.306377124732298,-18.161823666530307,40.41709537975646
2018-03-12,eth,699.8309936523438,2018,3,Marzo,12,1,Lunes,11,1,-3.249927897511695,-18.663550551289532,7.429790895682453
2018-03-13,eth,690.8270263671875,2018,3,Marzo,13,2,Martes,11,1,-1.2865916723930004,-15.200568440763963,-1.698998665553253
2018-03-14,eth,614.291015625,2018,3,Marzo,14,3,Miércoles,11,1,-11.078896427179908,-29.286740329356743,-11.716454614280792
2018-03-15,eth,611.3040161132812,2018,3,Marzo,15,4,Jueves,11,1,-0.4862515380726684,-27.67841069928044,-10.686565252921444
2018-03-16,eth,601.666015625,2018,3,Marzo,16,5,Viernes,11,1,-1.5766296694008974,-34.85367696512133,-13.579682375813206
2018-03-17,eth,552.7789916992188,2018,3,Marzo,17,6,Sábado,11,1,-8.125275926545106,-41.00393351362073,-23.222471551966038
2018-03-18,eth,538.6439819335938,2018,3,Marzo,18,7,Domingo,11,1,-2.5570815783310774,-42.952948030751514,-32.215773245350185
2018-03-19,eth,556.7260131835938,2018,3,Marzo,19,1,Lunes,12,1,3.3569541026134075,-42.84801909786402,-32.666844717830244
2018-03-20,eth,557.1749877929688,2018,3,Marzo,20,2,Martes,12,1,0.08064552378423961,-39.69452199640073,-31.976008772044217
2018-03-21,eth,561.7319946289062,2018,3,Marzo,21,3,Miércoles,12,1,0.8178771365865423,-40.48598046957751,-31.58478671596283
2018-03-22,eth,539.7020263671875,2018,3,Marzo,22,4,Jueves,12,1,-3.9217933947793493,-39.723082003125064,-20.027555629034023
2018-03-23,eth,539.6190185546875,2018,3,Marzo,23,5,Viernes,12,1,-0.015380304027901026,-36.513244183061445,-24.989053095519875
2018-03-24,eth,526.4390258789062,2018,3,Marzo,24,6,Sábado,12,1,-2.4424625935317246,-35.23500238630653,-24.16040698779144
2018-03-25,eth,524.2869873046875,2018,3,Marzo,25,7,Domingo,12,1,-0.4087916108852063,-39.331908690755256,-31.54038629761774
2018-03-26,eth,489.95098876953125,2018,3,Marzo,26,1,Lunes,13,1,-6.549084636197922,-41.7082407535024,-36.68542304868333
2018-03-27,eth,450.1159973144531,2018,3,Marzo,27,2,Martes,13,1,-8.130403319548385,-46.71985433230692,-40.994857502994584
2018-03-28,eth,446.27899169921875,2018,3,Marzo,28,3,Miércoles,13,1,-0.8524481773869996,-48.663143918386595,-39.44843166491172
2018-03-29,eth,385.9679870605469,2018,3,Marzo,29,4,Jueves,13,1,-13.51419308559343,-56.05335740089262,-48.78289614088644
2018-03-30,eth,394.6449890136719,2018,3,Marzo,30,5,Viernes,13,1,2.2481144146713428,-53.85343051961306,-44.97858110329209
2018-03-31,eth,396.4570007324219,2018,3,Marzo,31,6,Sábado,13,1,0.4591498103849512,-54.545173677627034,-47.60939250364142
2018-04-01,eth,379.60699462890625,2018,4,Abril,1,7,Domingo,13,2,-4.250147196893139,-55.69753709038172,-50.86890302908219
2018-04-02,eth,386.42498779296875,2018,4,Abril,2,1,Lunes,14,2,1.7960662634068703,-54.92140350567407,-56.30870908504954
2018-04-03,eth,416.89300537109375,2018,4,Abril,3,2,Martes,14,2,7.8845878347930665,-51.89758875780899,-56.696337662278374
2018-04-04,eth,380.5429992675781,2018,4,Abril,4,3,Miércoles,14,2,-8.719265047673074,-55.423436551670044,-61.205580015115025
2018-04-05,eth,383.23199462890625,2018,4,Abril,5,4,Jueves,14,2,0.7066206359080507,-53.08996501661384,-61.58922283986854
2018-04-06,eth,370.2850036621094,2018,4,Abril,6,5,Viernes,14,2,-3.3783690162231372,-50.81432528890988,-64.45309648168976
2018-04-07,eth,385.3139953613281,2018,4,Abril,7,6,Sábado,14,2,4.0587632635895154,-45.314195535884515,-66.5865413878544
2018-04-08,eth,400.50799560546875,2018,4,Abril,8,7,Domingo,14,2,3.9432775417078902,-45.0543015902788,-65.12864397192489
2018-04-09,eth,398.5260009765625,2018,4,Abril,9,1,Lunes,15,2,-0.4948701775378983,-41.981104328538656,-69.33802114492926
2018-04-10,eth,414.2430114746094,2018,4,Abril,10,2,Martes,15,2,3.9437854643193493,-42.731828696300944,-67.01413982962335
2018-04-11,eth,430.5400085449219,2018,4,Abril,11,3,Miércoles,15,2,3.9341634303736273,-38.47943111264917,-62.721551217622064
2018-04-12,eth,492.9410095214844,2018,4,Abril,12,4,Jueves,15,2,14.493659064916308,-28.64479953633473,-61.283299683779205
2018-04-13,eth,492.7349853515625,2018,4,Abril,13,5,Viernes,15,2,-0.04179489349483978,-19.788020202405598,-64.71441472872046
2018-04-14,eth,501.4779968261719,2018,4,Abril,14,6,Sábado,15,2,1.774384148584729,-17.965859276598874,-63.309262739157845
2018-04-15,eth,531.7020263671875,2018,4,Abril,15,7,Domingo,15,2,6.0269901635369605,-11.628376448208588,-58.844045429974415
2018-04-16,eth,511.1470031738281,2018,4,Abril,16,1,Lunes,16,2,-3.8658914531133126,-7.531398470375239,-51.48980899526728
2018-04-17,eth,502.8940124511719,2018,4,Abril,17,2,Martes,16,2,-1.6146021929917542,-6.637031263969318,-50.417154306022006
2018-04-18,eth,524.7890014648438,2018,4,Abril,18,3,Miércoles,16,2,4.353797911999946,-5.736576154600847,-49.35837933488715
2018-04-19,eth,567.8889770507812,2018,4,Abril,19,4,Jueves,16,2,8.212819907740542,1.922912817793887,-45.34799438037186
2018-04-20,eth,615.718017578125,2018,4,Abril,20,5,Viernes,16,2,8.422251964765092,9.610637005799049,-46.698004192966934
2018-04-21,eth,605.39501953125,2018,4,Abril,21,6,Sábado,16,2,-1.676578848135657,12.172085698149315,-42.32025716202736
2018-04-22,eth,621.8599853515625,2018,4,Abril,22,7,Domingo,16,2,2.7197061900279706,15.240561205042159,-38.01606968298903
2018-04-23,eth,642.5479736328125,2018,4,Abril,23,1,Lunes,17,2,3.326792006009871,22.055535787845272,-34.84799462520244
