d,etfFlow
2024-01-11,14128.67
2024-01-12,4741.06
2024-01-16,-1220.714
2024-01-17,10630.297
2024-01-18,-3068.205
2024-01-19,1047.904
2024-01-22,-2208.348
2024-01-23,-2670.034
2024-01-24,-3947.448
2024-01-25,-1999.115
2024-01-26,353.553
2024-01-29,5914.155
2024-01-30,5753.194
2024-01-31,4641.992
2024-02-01,894.925
2024-02-02,1853.766
2024-02-05,1597.869
2024-02-06,779.533
2024-02-07,3299.209
2024-02-08,8934.068
2024-02-09,11478.059
2024-02-12,9870.013
2024-02-13,12720.617
2024-02-14,6552.312
2024-02-15,9191.526
2024-02-16,6361.524
2024-02-20,2586.6
2024-02-21,-687.998
2024-02-22,4901.318
2024-02-23,4577.75
2024-02-26,9530.387
2024-02-27,10112.202
2024-02-28,10781.172
2024-02-29,1503.385
2024-03-01,-2232.728
2024-03-04,8263.839
2024-03-05,10137.524
2024-03-06,5022.41
2024-03-07,7044.839
2024-03-08,3261.456
2024-03-11,7000.185
2024-03-12,14629.149
2024-03-13,9355.299
2024-03-14,1855.807
2024-03-15,2863.525
2024-03-18,-2276.789
2024-03-19,-5263.896
2024-03-20,-3854.197
2024-03-21,-1434.579
2024-03-22,-812.771
2024-03-25,224.151
2024-03-26,5965.374
2024-03-27,3515.337
2024-03-28,2580.94
2024-04-01,-1227.941
2024-04-02,602.743
2024-04-03,1716.311
2024-04-04,3118.145
2024-04-05,2989.475
2024-04-08,-3120.782
2024-04-09,-280.856
2024-04-10,1752.635
2024-04-11,1303.419
2024-04-12,-821.186
2024-04-15,-578.925
2024-04-16,-909.307
2024-04-17,-2690.617
2024-04-18,-67.706
2024-04-19,936.285
2024-04-22,929.127
2024-04-23,476.009
2024-04-24,-1878.798
2024-04-25,-3372.839
2024-04-26,-1310.808
2024-04-29,-807.406
2024-04-30,-2665.069
2024-05-01,-9695.266
2024-05-02,-581.375
2024-05-03,6006.32
2024-05-06,3432.018
2024-05-07,-251.615
2024-05-08,188.28
2024-05-09,-179.369
2024-05-10,-1390.881
2024-05-13,1049.502
2024-05-14,1632.671
2024-05-15,4571.409
2024-05-16,3942.131
2024-05-17,3308.121
2024-05-20,3331.358
2024-05-21,4353.631
2024-05-22,2229.464
2024-05-23,1592.415
2024-05-24,3671.53
2024-05-28,658.445
2024-05-29,418.737
2024-05-30,713.706
2024-05-31,724.275
2024-06-03,1526.877
