d,etfBtcTotal
2024-01-11,14128.67
2024-01-12,18869.729
2024-01-16,17649.015
2024-01-17,28279.313
2024-01-18,25211.107
2024-01-19,26259.012
2024-01-22,24050.664
2024-01-23,21380.629
2024-01-24,17433.181
2024-01-25,15434.066
2024-01-26,15787.619
2024-01-29,21701.774
2024-01-30,27454.969
2024-01-31,32096.961
2024-02-01,32991.886
2024-02-02,34845.652
2024-02-05,36443.521
2024-02-06,37223.054
2024-02-07,40522.263
2024-02-08,49456.332
2024-02-09,60934.391
2024-02-12,70804.403
2024-02-13,83525.021
2024-02-14,90077.333
2024-02-15,99268.859
2024-02-16,105630.383
2024-02-20,108216.983
2024-02-21,107528.984
2024-02-22,112430.302
2024-02-23,117008.052
2024-02-26,126538.439
2024-02-27,136650.641
2024-02-28,147431.813
2024-02-29,148935.199
2024-03-01,146702.47
2024-03-04,154966.309
2024-03-05,165103.834
2024-03-06,170126.244
2024-03-07,177171.083
2024-03-08,180432.538
2024-03-11,187432.724
2024-03-12,202061.872
2024-03-13,211417.171
2024-03-14,213272.979
2024-03-15,216136.504
2024-03-18,213859.715
2024-03-19,208595.819
2024-03-20,204741.622
2024-03-21,203307.042
2024-03-22,202494.271
2024-03-25,202718.422
2024-03-26,208683.796
2024-03-27,212199.133
2024-03-28,214780.074
2024-04-01,213552.133
2024-04-02,214154.876
2024-04-03,215871.186
2024-04-04,218989.331
2024-04-05,221978.806
2024-04-08,218858.024
2024-04-09,218577.168
2024-04-10,220329.803
2024-04-11,221633.221
2024-04-12,220812.036
2024-04-15,220233.111
2024-04-16,219323.803
2024-04-17,216633.186
2024-04-18,216565.48
2024-04-19,217501.765
2024-04-22,218430.892
2024-04-23,218906.901
2024-04-24,217028.103
2024-04-25,213655.264
2024-04-26,212344.456
2024-04-29,211537.051
2024-04-30,208871.981
2024-05-01,199176.715
2024-05-02,198595.341
2024-05-03,204601.661
2024-05-06,208033.679
2024-05-07,207782.064
2024-05-08,207970.344
2024-05-09,207790.975
2024-05-10,206400.094
2024-05-13,207449.596
2024-05-14,209082.267
2024-05-15,213653.676
2024-05-16,217595.808
2024-05-17,220903.929
2024-05-20,224235.286
2024-05-21,228588.917
2024-05-22,230818.381
2024-05-23,232410.795
2024-05-24,236082.325
2024-05-28,236740.771
2024-05-29,237159.507
2024-05-30,237873.213
2024-05-31,238597.488
2024-06-03,240124.365
2024-06-04,252690.61
2024-06-05,259556.802
2024-06-06,262632.16
2024-06-07,264521.452
2024-06-10,263587.181
2024-06-11,260612.486
2024-06-12,262090.193
2024-06-13,258703.128
2024-06-14,255825.078
2024-06-17,253630.561
2024-06-18,251289.983
2024-06-20,249134.283
2024-06-21,247481.817
