d,hashrate
2022-05-08,229568645.62
2022-05-09,229568645.62
2022-05-10,227185770.44
2022-05-11,225257596.9
2022-05-12,209722591.14
2022-05-13,236132103.61
2022-05-14,219043595.94
2022-05-15,189527081.87
2022-05-16,254774110.97
2022-05-17,228364598.5
2022-05-18,208169091.46
2022-05-19,189527081.87
2022-05-20,198848086.66
2022-05-21,209722591.14
2022-05-22,189527081.87
2022-05-23,248560107.77
2022-05-24,186420080.27
2022-05-25,219464677.39
2022-05-26,209555370.57
2022-05-27,205096744.25
2022-05-28,219958828.41
2022-05-29,221445035.76
2022-05-30,228876076.77
2022-05-31,216986411.58
2022-06-01,202124327.42
2022-06-02,185776038.06
2022-06-03,212527787.4
2022-06-04,206582953.74
2022-06-05,216986411.58
2022-06-06,222931245.24
2022-06-07,240765744.09
2022-06-08,266501680.45
2022-06-09,219787040.62
2022-06-10,221292430.34
2022-06-11,231830164.92
2022-06-12,191184616.35
2022-06-13,200216961.2
2022-06-14,219787040.62
2022-06-15,248389462.72
2022-06-16,179141492.06
2022-06-17,162582194.25
2022-06-18,234840946.53
2022-06-19,200216961.2
2022-06-20,198711571.48
2022-06-21,225808603.85
2022-06-22,193096459.39
2022-06-23,223431041.44
2022-06-24,189622395.51
2022-06-25,221961099.21
2022-06-26,202851865.01
2022-06-27,199911982.66
2022-06-28,214611394.4
2022-06-29,221961099.21
2022-06-30,251359920.56
2022-07-01,196972102.43
2022-07-02,202851865.01
2022-07-03,227840863.9
2022-07-04,210201571.94
2022-07-05,173453043.66
2022-07-06,186599522.89
2022-07-07,227523378.27
2022-07-08,214480636.87
2022-07-09,194191928.48
2022-07-10,221726603.85
2022-07-11,178250799.87
2022-07-12,218828216.64
2022-07-13,159411284.05
2022-07-14,179699992.43
2022-07-15,205785475.24
2022-07-16,214480636.87
2022-07-17,179699992.43
2022-07-18,189844346.62
2022-07-19,199988700.82
2022-07-20,182598379.64
2022-07-21,198824710.57
2022-07-22,181711863.3
2022-07-23,211997172.2
2022-07-24,216126988.58
2022-07-25,195477912.62
2022-07-26,220256802.98
2022-07-27,227139827.64
2022-07-28,194101308.48
2022-07-29,200984333.14
2022-07-30,177582046.92
2022-07-31,209243963.92
2022-08-01,187218281.84
2022-08-02,213373778.32
2022-08-03,199607727.02
2022-08-04,183293576.2
2022-08-05,210085555.71
2022-08-06,225491829.97
2022-08-07,222690689.01
2022-08-08,201682132.84
2022-08-09,200281563.37
2022-08-10,207284414.75
2022-08-11,196079850.92
2022-08-12,215687835.61
2022-08-13,194679281.45
2022-08-14,186275858.58
2022-08-15,203082702.31
2022-08-16,207284414.75
2022-08-17,180673576.66
2022-08-18,202447354.28
2022-08-19,250867150.56
2022-08-20,209995535.88
2022-08-21,205767438.51
2022-08-22,204358071.37
2022-08-23,242410953.79
2022-08-24,205767438.51
2022-08-25,224089197.17
2022-08-26,248048418.3
2022-08-27,204358071.37
2022-08-28,226907929.42
2022-08-29,221270464.91
2022-08-30,228317294.54
2022-08-31,220515247.03
2022-09-01,212503107.42
2022-09-02,198644209.06
2022-09-03,226362005.78
2022-09-04,258699436.76
2022-09-05,235601272.09
2022-09-06,218662618.29
2022-09-07,224822129.17
2022-09-08,195564453.62
2022-09-09,226362005.78
2022-09-10,241760782.96
2022-09-11,281797599.21
2022-09-12,235601272.09
2022-09-13,212237771.67
2022-09-14,202308898.96
2022-09-15,234168568.5
2022-09-16,203901883.69
