d,outFlows
2012-05-09,211214.527
2012-05-10,167996.912
2012-05-11,262322.011
2012-05-12,162104.36
2012-05-13,86720.191
2012-05-14,175607.57
2012-05-15,193572.477
2012-05-16,159272.452
2012-05-17,150832.633
2012-05-18,185228.285
2012-05-19,137135.072
2012-05-20,168938.869
2012-05-21,215367.93
2012-05-22,218120.984
2012-05-23,176041.137
2012-05-24,135043.388
2012-05-25,140877.537
2012-05-26,91106.595
2012-05-27,107844.061
2012-05-28,150216.789
2012-05-29,207341.43
2012-05-30,198466.294
2012-05-31,169234.3
2012-06-01,220267.597
2012-06-02,140701.096
2012-06-03,110448.828
2012-06-04,199852.23
2012-06-05,184744.112
2012-06-06,158362.499
2012-06-07,186542.853
2012-06-08,160404.167
2012-06-09,250924.375
2012-06-10,129731.606
2012-06-11,184400.775
2012-06-12,182079.599
2012-06-13,197147.011
2012-06-14,179521.825
2012-06-15,168634.048
2012-06-16,207107.587
2012-06-17,168531.245
2012-06-18,188957.194
2012-06-19,188491.642
2012-06-20,180972.721
2012-06-21,164758.565
2012-06-22,190451.281
2012-06-23,125010.261
2012-06-24,280264.171
2012-06-25,154135.827
2012-06-26,286960.735
2012-06-27,242993.932
2012-06-28,177927.273
2012-06-29,139795.73
2012-06-30,85775.333
2012-07-01,88266.825
2012-07-02,234114.227
2012-07-03,228496.2
2012-07-04,166045.837
2012-07-05,165850.617
2012-07-06,155527.542
2012-07-07,122921.161
2012-07-08,103949.928
2012-07-09,200608.558
2012-07-10,197706.699
2012-07-11,175235.414
2012-07-12,240266.57
2012-07-13,181858.941
2012-07-14,111125.097
2012-07-15,102440.707
2012-07-16,201962.294
2012-07-17,282765.575
2012-07-18,186378.101
2012-07-19,150116.59
2012-07-20,187547.93
2012-07-21,186758.297
2012-07-22,108542.681
2012-07-23,193482.676
2012-07-24,158352.641
2012-07-25,178390.661
2012-07-26,151207.507
2012-07-27,148603.755
2012-07-28,118092.831
2012-07-29,91183.692
2012-07-30,184164.426
2012-07-31,235041.263
2012-08-01,179955.267
2012-08-02,213310.971
2012-08-03,185746.741
2012-08-04,115395.747
2012-08-05,130679.786
2012-08-06,136807.192
2012-08-07,134693.49
2012-08-08,183131.552
2012-08-09,176337.88
2012-08-10,144588.155
2012-08-11,88194.091
2012-08-12,81059.468
2012-08-13,165695.046
2012-08-14,179056.681
2012-08-15,151058.253
2012-08-16,171605.861
2012-08-17,181228.339
2012-08-18,151067.598
2012-08-19,244058.981
2012-08-20,198604.839
2012-08-21,216445.544
2012-08-22,229362.69
2012-08-23,165537.665
2012-08-24,178575.361
