d,reserves
2012-05-09,3467030.70179
2012-05-10,3493373.72224
2012-05-11,3455567.96550
2012-05-12,3422682.81065
2012-05-13,3433731.05559
2012-05-14,3428597.02483
2012-05-15,3438116.41366
2012-05-16,3447676.03670
2012-05-17,3440672.43514
2012-05-18,3434865.57685
2012-05-19,3441321.02598
2012-05-20,3416278.39952
2012-05-21,3429167.46151
2012-05-22,3456850.83134
2012-05-23,3437652.89032
2012-05-24,3441700.53410
2012-05-25,3446372.50145
2012-05-26,3456680.62244
2012-05-27,3469591.29946
2012-05-28,3469040.80875
2012-05-29,3462038.19813
2012-05-30,3441442.06501
2012-05-31,3436579.44120
2012-06-01,3556415.02054
2012-06-02,3536081.38457
2012-06-03,3530516.06959
2012-06-04,3512128.15278
2012-06-05,3511690.00206
2012-06-06,3518942.42538
2012-06-07,3515244.98251
2012-06-08,3577508.55084
2012-06-09,3489312.52126
2012-06-10,3477624.75004
2012-06-11,3484788.87909
2012-06-12,3483227.35941
2012-06-13,3453010.58144
2012-06-14,3460952.24469
2012-06-15,3468214.87119
2012-06-16,3480082.53686
2012-06-17,3443558.33511
2012-06-18,3442068.32942
2012-06-19,3433309.80651
2012-06-20,3455693.58653
2012-06-21,3439018.16353
2012-06-22,3439085.44302
2012-06-23,3454599.78065
2012-06-24,3439743.86549
2012-06-25,3493128.94803
2012-06-26,3473188.20004
2012-06-27,3465018.15529
2012-06-28,3463904.53022
2012-06-29,3467452.58316
2012-06-30,3476782.29466
2012-07-01,3483154.38715
2012-07-02,3485830.34883
2012-07-03,3449840.35528
2012-07-04,3475186.09255
2012-07-05,3475900.09729
2012-07-06,3474460.20380
2012-07-07,3477911.42460
2012-07-08,3474365.59133
2012-07-09,3496118.77503
2012-07-10,3533442.62748
2012-07-11,3534709.37948
2012-07-12,3470883.08004
2012-07-13,3475572.20280
2012-07-14,3474753.94074
2012-07-15,3468066.81912
2012-07-16,3482522.89325
2012-07-17,3419980.14888
2012-07-18,3452782.30279
2012-07-19,3440280.84547
2012-07-20,3424586.79869
2012-07-21,3373393.20384
2012-07-22,3375431.01785
2012-07-23,3372667.79378
2012-07-24,3397996.31483
2012-07-25,3402212.61963
2012-07-26,3398292.37528
2012-07-27,3388089.77897
2012-07-28,3377462.73533
2012-07-29,3363392.61404
2012-07-30,3333327.98317
2012-07-31,3363202.88940
2012-08-01,3385368.79440
2012-08-02,3424060.94110
2012-08-03,3435469.98682
2012-08-04,3429006.06614
2012-08-05,3421257.57904
2012-08-06,3425651.62498
2012-08-07,3455700.06183
2012-08-08,3434930.35486
2012-08-09,3433682.41500
2012-08-10,3434025.38003
2012-08-11,3441478.84989
2012-08-12,3447833.49339
2012-08-13,3501801.08633
2012-08-14,3497795.79653
2012-08-15,3493301.51222
2012-08-16,3483479.49865
2012-08-17,3481030.12475
2012-08-18,3466259.18809
2012-08-19,3404782.54414
2012-08-20,3429080.96986
2012-08-21,3412100.19679
2012-08-22,3399052.21786
2012-08-23,3415899.35932
2012-08-24,3462677.84154
2012-08-25,3464236.72189
2012-08-26,3517374.13498
2012-08-27,3446098.14891
2012-08-28,3472441.85051
2012-08-29,3517043.67808
2012-08-30,3516010.68626
2012-08-31,3423187.51030
2012-09-01,3497288.73347
2012-09-02,3518785.80024
2012-09-03,3530606.25288
2012-09-04,3540584.89672
2012-09-05,3581831.16742
2012-09-06,3635791.36613
2012-09-07,3691875.14879
2012-09-08,3717640.74053
2012-09-09,3649984.22552
2012-09-10,3519814.96081
2012-09-11,3585218.57677
2012-09-12,3661977.02636
2012-09-13,3669233.82141
2012-09-14,3711363.35541
2012-09-15,3722586.14766
2012-09-16,3743775.45549
2012-09-17,3773660.06995
2012-09-18,3793698.33196
2012-09-19,3820735.57516
2012-09-20,3850158.63720
2012-09-21,3804028.23704
2012-09-22,3824437.67489
2012-09-23,3837354.83777
2012-09-24,3724564.39891
2012-09-25,3630271.82241
2012-09-26,3580854.07986
2012-09-27,3481495.49473
2012-09-28,3370732.67101
2012-09-29,3246817.50818
2012-09-30,3164174.00938
2012-10-01,3264417.66303
2012-10-02,3178722.17341
2012-10-03,3087159.01203
2012-10-04,3096936.92646
2012-10-05,3099859.39581
2012-10-06,3103798.15597
2012-10-07,3107093.93498
