d,lthMvrv
2022-06-07,1.502
2022-06-08,1.517
2022-06-09,1.509
2022-06-10,1.477
2022-06-11,1.44
2022-06-12,1.377
2022-06-13,1.204
2022-06-14,1.11
2022-06-15,1.075
2022-06-16,1.074
2022-06-17,1.041
2022-06-18,0.971
2022-06-19,0.974
2022-06-20,1.024
2022-06-21,1.06
2022-06-22,1.023
2022-06-23,1.036
2022-06-24,1.062
2022-06-25,1.07
2022-06-26,1.075
2022-06-27,1.058
2022-06-28,1.04
2022-06-29,1.012
2022-06-30,0.973
2022-07-01,0.981
2022-07-02,0.967
2022-07-03,0.964
2022-07-04,0.982
2022-07-05,1.005
2022-07-06,1.009
2022-07-07,1.041
2022-07-08,1.086
2022-07-09,1.08
2022-07-10,1.055
2022-07-11,1.024
2022-07-12,0.987
2022-07-13,0.981
2022-07-14,1.009
2022-07-15,1.042
2022-07-16,1.046
2022-07-17,1.062
2022-07-18,1.096
2022-07-19,1.132
2022-07-20,1.182
2022-07-21,1.152
2022-07-22,1.165
2022-07-23,1.133
2022-07-24,1.141
2022-07-25,1.106
2022-07-26,1.06
2022-07-27,1.092
2022-07-28,1.175
2022-07-29,1.202
2022-07-30,1.209
2022-07-31,1.193
2022-08-01,1.168
2022-08-02,1.134
2022-08-03,1.144
2022-08-04,1.126
2022-08-05,1.136
2022-08-06,1.141
2022-08-07,1.135
2022-08-08,1.172
2022-08-09,1.153
2022-08-10,1.153
2022-08-11,1.199
2022-08-12,1.18
2022-08-13,1.205
2022-08-14,1.203
2022-08-15,1.192
2022-08-16,1.176
2022-08-17,1.163
2022-08-18,1.148
2022-08-19,1.069
2022-08-20,1.036
2022-08-21,1.046
2022-08-22,1.041
2022-08-23,1.046
2022-08-24,1.048
2022-08-25,1.055
2022-08-26,1.032
2022-08-27,0.977
2022-08-28,0.969
2022-08-29,0.969
2022-08-30,0.975
2022-08-31,0.978
2022-09-01,0.966
2022-09-02,0.971
2022-09-03,0.958
2022-09-04,0.956
2022-09-05,0.955
2022-09-06,0.944
2022-09-07,0.911
2022-09-08,0.927
2022-09-09,0.999
2022-09-10,1.029
2022-09-11,1.038
2022-09-12,1.065
2022-09-13,1.033
2022-09-14,0.974
