d,nrplUsd
2022-04-01,377480345.14
2022-04-02,309269065.12
2022-04-03,291576286.82
2022-04-04,283561815.07
2022-04-05,264464972.92
2022-04-06,259716455.23
2022-04-07,244114669.23
2022-04-08,211739808.88
2022-04-09,198003807.17
2022-04-10,166422531.59
2022-04-11,139658999.58
2022-04-12,221961079.96
2022-04-13,172663555.05
2022-04-14,204844394.81
2022-04-15,191149129.42
2022-04-16,155671141.61
2022-04-17,135102039.9
2022-04-18,107906729.1
2022-04-19,54412138.05
2022-04-20,47885993.34
2022-04-21,169027003.47
2022-04-22,150812842.99
2022-04-23,132578343.94
2022-04-24,109089677.11
2022-04-25,63816969.46
2022-04-26,2581759.2
2022-04-27,13492999.87
2022-04-28,-20223223.42
2022-04-29,-37244040.8
2022-04-30,-33451165.98
2022-05-01,-49775378.53
2022-05-02,-147592661.0
2022-05-03,-179191672.11
2022-05-04,-153645088.08
2022-05-05,-158200778.09
2022-05-06,-115569034.53
2022-05-07,-116524168.84
2022-05-08,-115346571.28
2022-05-09,-245192983.23
2022-05-10,-282220633.22
2022-05-11,-459421786.09
2022-05-12,-506326561.11
2022-05-13,-608127933.39
2022-05-14,-445080684.54
2022-05-15,-419807409.43
2022-05-16,-413263816.1
2022-05-17,-422334408.75
2022-05-18,-406846872.57
2022-05-19,-434164871.14
2022-05-20,-450556477.7
2022-05-21,-399082246.0
2022-05-22,-363867208.99
2022-05-23,-370823980.04
2022-05-24,-330722125.98
2022-05-25,-322460356.44
2022-05-26,-327066885.55
2022-05-27,-356866238.75
2022-05-28,-318437865.73
2022-05-29,-284695117.75
2022-05-30,-273698668.26
2022-05-31,-242186517.19
2022-06-01,-230467394.63
2022-06-02,-302615453.74
2022-06-03,-307289446.37
2022-06-04,-317120218.25
2022-06-05,-295964633.78
2022-06-06,-327171389.66
2022-06-07,-346711651.13
2022-06-08,-341513269.78
2022-06-09,-365092033.04
2022-06-10,-331836473.15
2022-06-11,-336168325.68
2022-06-12,-313194263.09
2022-06-13,-480549528.64
2022-06-14,-686007352.82
2022-06-15,-868883865.57
2022-06-16,-945711492.42
2022-06-17,-956217064.64
2022-06-18,-992499853.37
2022-06-19,-911331613.18
2022-06-20,-884478481.61
2022-06-21,-884276665.93
2022-06-22,-847863827.2
2022-06-23,-784834647.79
2022-06-24,-760169429.44
2022-06-25,-657357983.9
2022-06-26,-584754915.77
2022-06-27,-562861583.17
2022-06-28,-524463339.25
2022-06-29,-499307290.21
2022-06-30,-592927786.48
2022-07-01,-606241869.86
2022-07-02,-554548122.48
2022-07-03,-520073619.01
2022-07-04,-477640585.69
2022-07-05,-459906571.4
2022-07-06,-521906920.06
2022-07-07,-498562238.32
2022-07-08,-485982282.15
2022-07-09,-496656743.12
2022-07-10,-437740487.1
2022-07-11,-526002823.11
2022-07-12,-474547231.27
2022-07-13,-433730226.19
2022-07-14,-452234551.47
2022-07-15,-616373038.93
2022-07-16,-544262275.93
2022-07-17,-485467664.23
2022-07-18,-442708381.68
2022-07-19,-502893642.74
2022-07-20,-438835235.73
2022-07-21,-458002358.24
2022-07-22,-485298462.33
2022-07-23,-447831548.63
2022-07-24,-406278136.21
2022-07-25,-392421158.51
2022-07-26,-365993579.37
2022-07-27,-336840554.24
2022-07-28,-321423125.85
2022-07-29,-297174401.63
2022-07-30,-256553766.91
2022-07-31,-229570664.6
2022-08-01,-189256090.77
2022-08-02,-179256941.67
2022-08-03,-165840134.82
2022-08-04,-179240517.59
2022-08-05,-165600024.4
2022-08-06,-145970250.49
2022-08-07,-127111781.83
2022-08-08,-123270630.54
2022-08-09,-159836380.06
2022-08-10,-113607401.57
2022-08-11,-121845009.2
2022-08-12,-92324002.77
2022-08-13,-89530765.89
2022-08-14,-80846575.83
2022-08-15,-78608353.16
2022-08-16,-65232082.63
2022-08-17,-73482661.22
2022-08-18,-63200582.21
2022-08-19,-83126796.28
2022-08-20,-76933573.63
2022-08-21,-78128190.9
2022-08-22,-99610773.41
2022-08-23,-108605056.01
2022-08-24,-114555015.03
2022-08-25,-126377458.2
2022-08-26,-122654560.44
2022-08-27,-119120971.61
2022-08-28,-102495472.03
2022-08-29,-97345667.16
2022-08-30,-148455075.07
2022-08-31,-152621409.27
2022-09-01,-164835114.93
2022-09-02,-182096385.43
2022-09-03,-163526884.56
2022-09-04,-139226971.74
2022-09-05,-136364411.38
2022-09-06,-168286186.45
2022-09-07,-165074159.44
2022-09-08,-182896933.63
2022-09-09,-185852397.55
2022-09-10,-173921130.78
2022-09-11,-164254032.7
2022-09-12,-153524690.83
2022-09-13,-219289350.44
2022-09-14,-209442804.5
2022-09-15,-236598375.05
2022-09-16,-221374643.75
2022-09-17,-209484742.2
2022-09-18,-192580139.87
2022-09-19,-197196350.81
2022-09-20,-210764339.18
2022-09-21,-207613394.67
2022-09-22,-198564324.37
2022-09-23,-193631182.52
2022-09-24,-174735288.14
2022-09-25,-162059215.84
2022-09-26,-153981655.77
2022-09-27,-173131060.47
2022-09-28,-179818354.25
2022-09-29,-190108846.41
2022-09-30,-202333581.29
2022-10-01,-182739272.37
2022-10-02,-166761424.81
2022-10-03,-162938108.33
2022-10-04,-169669270.44
2022-10-05,-166559897.41
2022-10-06,-157494871.66
2022-10-07,-136516153.74
2022-10-08,-147801571.53
2022-10-09,-133453528.27
2022-10-10,-135863738.01
2022-10-11,-132515686.78
2022-10-12,-176029025.1
2022-10-13,-172587555.07
2022-10-14,-170281446.24
2022-10-15,-150959310.27
2022-10-16,-140995325.88
2022-10-17,-176048676.3
2022-10-18,-124869739.84
2022-10-19,-128444763.58
2022-10-20,-126019643.3
2022-10-21,-123360602.96
2022-10-22,-141899847.31
2022-10-23,-131465618.29
2022-10-24,-124711679.58
2022-10-25,-107819284.99
2022-10-26,-116416453.44
2022-10-27,-98437264.04
2022-10-28,-91757839.6
2022-10-29,-86403994.36
2022-10-30,-84683397.12
2022-10-31,-80442408.85
2022-11-01,-83969371.96
2022-11-02,-80374406.12
2022-11-03,-75491081.13
2022-11-04,-32381045.44
2022-11-05,-38377889.52
2022-11-06,-50839175.37
2022-11-07,-160942819.25
2022-11-08,-155798621.79
2022-11-09,-241911931.88
2022-11-10,-296890459.98
2022-11-11,-345162894.12
2022-11-12,-414017353.75
2022-11-13,-386923147.57
2022-11-14,-416826025.47
2022-11-15,-466733818.89
2022-11-16,-513536182.51
2022-11-17,-650495368.4
2022-11-18,-1114620962.67
2022-11-19,-1001743887.36
2022-11-20,-907682345.63
2022-11-21,-860823919.85
2022-11-22,-821751277.3
2022-11-23,-713179937.48
2022-11-24,-655953422.68
2022-11-25,-602380396.69
2022-11-26,-557496138.16
2022-11-27,-498994675.66
2022-11-28,-489094988.66
2022-11-29,-454523663.01
2022-11-30,-435985197.77
2022-12-01,-404886374.8
2022-12-02,-385033891.76
2022-12-03,-348656252.35
2022-12-04,-331579337.66
2022-12-05,-429675504.84
2022-12-06,-415545132.33
2022-12-07,-371426424.29
2022-12-08,-350942756.33
2022-12-09,-352715084.28
2022-12-10,-309216365.27
2022-12-11,-285983548.85
2022-12-12,-259818727.34
2022-12-13,-270839945.81
2022-12-14,-285769019.64
2022-12-15,-256052800.66
2022-12-16,-231564728.02
2022-12-17,-215363523.8
2022-12-18,-197839846.21
2022-12-19,-236971370.17
2022-12-20,-222721469.27
2022-12-21,-230092453.16
2022-12-22,-217817611.23
2022-12-23,-211836473.84
2022-12-24,-195193119.45
2022-12-25,-196689788.38
2022-12-26,-178776479.51
2022-12-27,-178681744.5
2022-12-28,-217098193.89
2022-12-29,-236272412.77
2022-12-30,-224322506.39
2022-12-31,-296970013.56
2023-01-01,-267933340.33
2023-01-02,-240895325.36
2023-01-03,-231453114.57
2023-01-04,-233113203.9
2023-01-05,-220949168.16
2023-01-06,-221834312.07
2023-01-07,-207171640.55
2023-01-08,-186553522.91
2023-01-09,-173491502.0
2023-01-10,-179578974.41
2023-01-11,-200834186.66
2023-01-12,-185401020.62
2023-01-13,-165159849.85
2023-01-14,-152175414.55
2023-01-15,-124546385.99
2023-01-16,-94251767.41
2023-01-17,-57382292.7
2023-01-18,-46303656.46
2023-01-19,-50146408.54
2023-01-20,-41998261.05
2023-01-21,-40930679.66
2023-01-22,-17556442.86
2023-01-23,-5323536.01
2023-01-24,7861618.98
2023-01-25,25396924.24
2023-01-26,-13189151.66
2023-01-27,-42212973.68
2023-01-28,-30016841.08
2023-01-29,-19433146.0
2023-01-30,1172214.9
2023-01-31,21879852.99
2023-02-01,57277958.78
2023-02-02,58107034.34
2023-02-03,72171171.92
2023-02-04,82185204.38
2023-02-05,75632809.55
2023-02-06,75616964.94
2023-02-07,68206861.8
2023-02-08,66040024.69
2023-02-09,72356288.32
2023-02-10,65348803.06
2023-02-11,55255291.63
2023-02-12,43545908.3
2023-02-13,32603185.33
2023-02-14,20437673.97
2023-02-15,13687591.84
2023-02-16,12052224.56
2023-02-17,32457836.11
2023-02-18,30459272.75
2023-02-19,34544599.8
2023-02-20,41642217.08
2023-02-21,45706673.58
2023-02-22,41400542.91
2023-02-23,46537012.06
2023-02-24,51062489.73
2023-02-25,41385124.91
2023-02-26,36227693.93
2023-02-27,36384479.68
2023-02-28,-9633308.21
2023-03-01,-35490891.09
2023-03-02,-34623040.62
2023-03-03,-27796091.11
2023-03-04,-26826637.28
2023-03-05,-53307925.69
2023-03-06,-57780297.73
2023-03-07,-209843965.22
2023-03-08,-189147881.35
2023-03-09,-171376792.37
2023-03-10,-157941051.78
2023-03-11,-156445486.87
2023-03-12,-149678871.56
2023-03-13,-155638482.87
2023-03-14,-121963462.97
2023-03-15,-70506828.3
2023-03-16,-37932149.93
2023-03-17,4195543.33
2023-03-18,16338132.73
2023-03-19,31861487.51
2023-03-20,63769351.38
2023-03-21,99426948.38
2023-03-22,121903159.62
2023-03-23,174553718.58
2023-03-24,176065801.66
2023-03-25,164749336.55
2023-03-26,158959272.46
2023-03-27,220041152.94
2023-03-28,214636255.24
2023-03-29,200072615.51
2023-03-30,-551862928.71
2023-03-31,-435624962.91
2023-04-01,-363512032.21
2023-04-02,-309190257.78
