d,nupl
2014-12-24,-0.0004
2014-10-31,-0.0033
2015-07-10,-0.0045
2022-08-25,-0.0045
2015-07-15,-0.0051
2015-08-04,-0.0061
2015-10-22,-0.0067
2022-08-21,-0.0078
2022-08-23,-0.0078
2022-09-09,-0.0081
2022-11-06,-0.0087
2015-07-31,-0.0091
2014-12-21,-0.0124
2022-08-24,-0.0125
2014-12-25,-0.0127
2015-03-11,-0.0131
2015-01-02,-0.0135
2022-07-25,-0.0155
2022-10-29,-0.0158
2022-10-26,-0.0163
2015-08-05,-0.0164
2014-10-29,-0.0167
2015-08-02,-0.0167
2014-12-28,-0.0175
2015-08-03,-0.0175
2015-01-01,-0.0176
2018-11-19,-0.0177
2022-06-15,-0.0177
2015-10-17,-0.0183
2015-03-12,-0.0189
2022-07-08,-0.019
2022-08-22,-0.0191
2015-08-01,-0.0195
2014-12-17,-0.0201
2014-12-27,-0.0217
2014-11-04,-0.0224
2015-10-20,-0.0233
2014-12-19,-0.0244
2022-11-07,-0.0245
2022-10-30,-0.0248
2022-10-28,-0.0256
2015-07-17,-0.0258
2020-03-17,-0.026
2015-08-07,-0.0265
2022-07-07,-0.0271
2022-08-20,-0.0272
2015-03-10,-0.0276
2015-07-20,-0.028
2022-07-09,-0.0282
2015-08-06,-0.0285
2014-10-07,-0.0293
2014-12-29,-0.0295
2020-03-18,-0.0299
2022-07-26,-0.0304
2022-10-31,-0.0308
2022-11-01,-0.0309
2015-07-16,-0.0313
2015-03-16,-0.0322
2015-07-22,-0.0327
2015-03-09,-0.0333
2014-12-30,-0.0334
2015-10-21,-0.034
2015-07-18,-0.0355
2015-07-23,-0.0364
2015-07-21,-0.0369
2014-11-03,-0.0373
2022-07-16,-0.0374
2022-07-17,-0.0378
2022-06-13,-0.0391
2022-08-19,-0.0393
2014-12-18,-0.0408
2014-11-02,-0.0419
2014-11-01,-0.0421
2022-10-27,-0.0421
2022-06-14,-0.043
2020-03-15,-0.0431
2015-07-19,-0.0432
2022-11-03,-0.0449
2023-01-12,-0.045
2019-04-01,-0.0454
2022-10-04,-0.0454
2015-03-15,-0.0474
2015-10-19,-0.0474
2022-11-02,-0.0477
2022-06-25,-0.0487
2015-10-18,-0.0509
2015-08-11,-0.0512
2022-10-25,-0.0513
2014-10-06,-0.0517
2015-03-13,-0.0526
2015-10-16,-0.0531
2014-10-04,-0.0543
2015-03-17,-0.0544
2022-10-05,-0.0547
2022-07-15,-0.0555
2015-07-05,-0.0565
2019-03-31,-0.0566
2022-06-24,-0.0568
2019-03-30,-0.0582
2019-03-29,-0.0589
2022-09-14,-0.0592
2015-07-08,-0.0601
2015-03-14,-0.061
2018-11-21,-0.0615
2015-07-09,-0.0627
2019-02-23,-0.063
2022-09-17,-0.0638
2015-08-12,-0.0639
2022-09-13,-0.0645
2015-03-03,-0.0648
2022-07-10,-0.065
2022-10-06,-0.0651
2015-07-06,-0.0652
2022-06-23,-0.0679
2022-08-29,-0.068
2022-06-26,-0.0684
