d,btcPrice
2022-05-08,34058.9066861484
2022-05-09,30457.9218194039
2022-05-10,30990.7351659848
2022-05-11,28796.5568217417
2022-05-12,29030.7070417884
2022-05-13,29285.9346718293
2022-05-14,30051.9357551140
2022-05-15,31182.6212460549
2022-05-16,29889.6124757452
2022-05-17,30438.1944476914
2022-05-18,28771.2204786675
2022-05-19,30257.8852483928
2022-05-20,29224.2459984220
2022-05-21,29420.0782857978
2022-05-22,30331.8751417300
2022-05-23,29088.2515419638
2022-05-24,29643.6837556984
2022-05-25,29577.2598801870
2022-05-26,29332.4860467563
2022-05-27,28612.0413103448
2022-05-28,29045.5206344243
2022-05-29,29294.9900000000
2022-05-30,31735.9549719462
2022-05-31,31831.4095251315
2022-06-01,29825.9221992987
2022-06-02,30504.2679997078
2022-06-03,29662.6709708942
2022-06-04,29792.4076779077
2022-06-05,29915.4093009936
2022-06-06,31333.6770197545
2022-06-07,31175.0324289889
2022-06-08,30228.4646984220
2022-06-09,30064.4855289305
2022-06-10,29070.4000300994
2022-06-11,28360.7899231444
2022-06-12,26830.2839456458
2022-06-13,22316.2570400351
2022-06-14,22072.8663085915
2022-06-15,22520.7910087668
2022-06-16,20310.1769848042
2022-06-17,20464.9290873174
2022-06-18,19013.8672536528
2022-06-19,20492.2951683226
2022-06-20,20571.6292247224
2022-06-21,20688.4651312098
2022-06-22,20003.1683375219
2022-06-23,21097.1028331385
2022-06-24,21299.0769853887
2022-06-25,21468.3431566335
2022-06-26,21066.6209430158
2022-06-27,20751.0516960842
2022-06-28,20263.2196393922
2022-06-29,20080.9480864991
2022-06-30,19332.9121294565
2022-07-01,19341.8631240795
2022-07-02,19231.8317083577
2022-07-03,19276.5146639392
2022-07-04,20226.2984745763
2022-07-05,20193.3427938048
2022-07-06,20560.8438126826
2022-07-07,21651.4191423144
2022-07-08,21813.7871239042
2022-07-09,21585.1321922852
2022-07-10,20831.2733915839
2022-07-11,19971.3294704851
2022-07-12,19339.1534734074
2022-07-13,20155.5278386908
2022-07-14,20552.8990289304
2022-07-15,20831.7227005260
2022-07-16,21196.5091428989
2022-07-17,21184.3200000000
2022-07-19,23371.2026601403
2022-07-20,23280.9356680304
2022-07-21,23152.4093112215
2022-07-22,22706.0835554646
2022-07-23,22484.4592317358
2022-07-24,22653.3570260082
2022-07-25,21510.1255874342
2022-07-26,21181.6591967855
2022-07-27,22898.4150683226
2022-07-28,23838.5568838691
2022-07-29,23950.7403798948
2022-07-30,23623.4349611338
2022-07-31,23356.1722215079
2022-08-01,23331.4426969608
2022-08-02,23031.4268834015
2022-08-03,23324.0000000000
2022-08-04,22628.3320821157
2022-08-05,23248.9715023378
2022-08-06,22996.2750452952
