d,target_reg,ret_hat,direction_hat
2013-01-23,-3.623,-1.7446020000000098,-1
2013-02-01,-3.948,-1.7898299999999923,-1
2013-02-16,-1.532,-0.46562400000000304,-1
2013-02-22,-2.186,-0.631624000000001,-1
2013-03-06,-3.09,-0.8493379999999915,-1
2013-03-11,-7.999,-3.900584000000012,-1
2013-03-22,-7.821,-3.6439319999999853,-1
2013-04-09,-30.124,-16.703705999999915,-1
2013-04-10,-48.57,-31.32644399999984,-1
2013-04-12,-12.44,-3.113568000000018,-1
2013-04-13,-8.962,-4.871291999999994,-1
2013-04-14,-8.988,-6.484749999999972,-1
2013-04-15,-15.569,-5.574409999999976,-1
2013-04-20,-7.585,-3.1304720000000112,-1
2013-04-24,-8.515,-5.855257999999994,-1
2013-04-25,-2.694,-3.0552859999999837,-1
2013-04-26,-6.547,-4.621948000000014,-1
2013-04-29,-3.255,-3.5290640000000235,-1
2013-04-30,-16.543,-10.638349999999972,-1
2013-05-01,-8.417,-5.946443999999967,-1
2013-05-02,-9.426,-5.399173999999972,-1
2013-05-05,-3.752,-2.3538339999999867,-1
2013-05-08,-1.027,-0.309222,-1
2013-05-10,-1.862,-1.2060900000000008,-1
2013-05-11,-0.532,-0.7800919999999983,-1
2013-05-13,-8.125,-4.738625999999999,-1
2013-05-18,-0.961,-0.21371599999999924,-1
2013-05-26,-2.893,-1.2687479999999998,-1
2013-05-27,-0.386,-0.1696000000000003,-1
2013-05-29,-2.355,-1.4846000000000072,-1
2013-06-01,-4.786,-3.4206120000000033,-1
2013-06-02,0.263,-0.4800019999999976,-1
2013-06-03,-2.244,-1.665158000000012,-1
2013-06-04,0.566,-0.012239999999999947,-1
2013-06-05,-1.502,-1.642245999999993,-1
2013-06-06,-7.439,-5.014627999999999,-1
2013-06-07,-0.925,-1.332047999999998,-1
2013-06-08,-8.495,-4.960857999999962,-1
2013-06-11,-1.051,-0.8810559999999942,-1
2013-06-12,-4.751,-3.567753999999987,-1
2013-06-13,-2.083,-1.3357199999999996,-1
2013-06-15,-0.838,-0.7097540000000037,-1
2013-06-19,-0.09,-0.26476800000000145,-1
2013-06-20,-2.786,-2.1415819999999846,-1
2013-06-21,-1.358,-0.985748000000002,-1
2013-06-22,0.275,-0.03175200000000032,-1
2013-06-23,-1.265,-1.0137079999999938,-1
2013-06-24,-1.225,-1.1326440000000062,-1
2013-06-26,-1.873,-1.5590520000000072,-1
2013-06-27,-7.623,-5.028850000000025,-1
2013-06-28,-0.701,-1.1606820000000062,-1
2013-06-29,0.77,-0.08522000000000032,-1
2013-06-30,-7.391,-4.863622000000022,-1
2013-07-02,-11.53,-7.5627800000000525,-1
2013-07-04,-14.769,-9.095203999999956,-1
2013-07-05,-1.64,-1.352595999999993,-1
2013-07-13,-1.856,-1.0126459999999968,-1
2013-07-15,-2.148,-1.6239140000000105,-1
2013-07-16,-0.817,-0.0668700000000001,-1
2013-07-17,-6.668,-4.000977999999968,-1
2013-07-19,-1.54,-0.7877300000000024,-1
2013-07-26,-2.021,-0.9097880000000029,-1
2013-07-31,-1.486,-0.7927299999999964,-1
2013-08-01,-0.511,-0.34455399999999886,-1
2013-08-02,-0.591,-0.059034000000000225,-1
2013-08-06,-0.632,-0.45714600000000216,-1
2013-08-07,-2.882,-1.763051999999988,-1
2013-08-08,-1.893,-1.2280279999999975,-1
2013-08-14,-1.024,-0.8044260000000015,-1
2013-08-21,-1.154,-0.2299019999999988,-1
2013-08-22,-1.667,-0.40626600000000085,-1
2013-08-25,-0.853,-0.07632400000000084,-1
2013-09-01,-0.744,-0.19545599999999996,-1
2013-09-03,-5.151,-3.109998000000007,-1
2013-09-05,-3.685,-2.177159999999985,-1
2013-09-07,-1.467,-1.0808999999999975,-1
2013-09-13,-2.401,-1.291385999999998,-1
2013-09-18,-2.146,-1.3864139999999965,-1
2013-09-19,-1.014,-0.31337000000000015,-1
2013-09-21,-0.31,-0.16889000000000093,-1
2013-09-24,-0.148,-0.2925039999999997,-1
2013-09-27,0.151,-0.1037680000000003,-1
2013-09-29,-0.801,-0.7630359999999957,-1
2013-10-01,-18.397,-11.190077999999968,-1
2013-10-04,-0.44,-0.11932799999999943,-1
2013-10-15,-2.238,-0.8097679999999998,-1
2013-10-23,-4.981,-2.6692519999999966,-1
2013-10-24,-4.509,-2.0862960000000075,-1
2013-10-25,-3.143,-1.4503599999999994,-1
2013-10-29,-3.193,-0.6989179999999993,-1
2013-11-18,-16.86,-2.94338399999998,-1
2013-11-30,-13.831,-10.560470000000043,-1
2013-12-04,-9.474,-6.157350000000025,-1
2013-12-05,-19.742,-13.56364600000009,-1
2013-12-06,-14.654,-8.862518000000021,-1
2013-12-10,-10.408,-6.71653399999996,-1
2013-12-11,-0.244,-1.6656400000000149,-1
2013-12-15,-21.546,-12.767168000000035,-1
2013-12-16,0.698,-1.4811520000000093,-1
2013-12-17,-22.927,-13.975863999999946,-1
2013-12-19,-12.444,-8.844012000000005,-1
2013-12-26,-3.657,-2.452172,-1
2013-12-27,-0.93,-0.4794480000000033,-1
2013-12-30,-0.841,-0.48920600000000164,-1
2014-01-06,-12.15,-7.122550000000036,-1
2014-01-11,-4.987,-2.035519999999991,-1
2014-01-12,-2.64,-1.932297999999992,-1
2014-01-13,-0.922,-0.802336000000003,-1
2014-01-15,-3.0,-1.309046,-1
2014-01-16,-2.822,-1.5213720000000015,-1
2014-01-19,-1.138,-0.7610139999999984,-1
2014-01-20,-0.611,-0.730217999999996,-1
2014-01-21,-0.588,-0.49747399999999636,-1
2014-01-22,-0.983,-0.7572260000000023,-1
2014-01-23,-3.685,-2.157793999999983,-1
2014-01-26,-8.815,-5.175634000000023,-1
2014-02-01,0.156,-0.46735599999999716,-1
2014-02-02,-0.92,-0.885104000000003,-1
2014-02-03,-0.857,-0.9151280000000079,-1
2014-02-04,-1.95,-1.7056840000000086,-1
2014-02-05,-2.665,-2.0709019999999922,-1
2014-02-06,-6.81,-4.7023559999999724,-1
2014-02-07,-4.763,-3.410851999999983,-1
2014-02-09,-0.283,-0.2393799999999986,-1
2014-02-10,-1.978,-1.6375759999999915,-1
2014-02-11,-2.699,-2.079169999999989,-1
2014-02-12,-6.248,-3.6999080000000215,-1
2014-02-14,-2.155,-1.1933799999999908,-1
2014-02-15,-4.757,-3.4898160000000087,-1
2014-02-17,-0.644,-0.5003600000000019,-1
2014-02-18,-0.595,-0.6527520000000036,-1
2014-02-19,-9.586,-6.098881999999968,-1
2014-02-23,-11.116,-7.368777999999992,-1
2014-02-24,-1.578,-1.3528719999999899,-1
2014-02-26,-0.372,-1.0729540000000044,-1
2014-02-27,-5.825,-3.9925300000000226,-1
2014-03-01,-1.587,-1.3177159999999954,-1
2014-03-03,-0.295,-0.5830259999999975,-1
2014-03-04,-0.619,-0.2581059999999999,-1
2014-03-05,-0.392,-0.07005599999999902,-1
2014-03-06,-5.383,-2.9947820000000145,-1
2014-03-07,-1.622,-1.2211959999999977,-1
2014-03-09,-1.94,-1.230246000000004,-1
2014-03-13,-2.35,-1.6690060000000078,-1
2014-03-15,-0.322,-0.37736800000000137,-1
2014-03-16,-1.799,-1.3361939999999901,-1
2014-03-17,-1.357,-1.010822000000007,-1
2014-03-18,-0.618,-0.7510519999999978,-1
2014-03-19,-3.915,-2.9125219999999885,-1
2014-03-20,-2.883,-2.29182200000001,-1
2014-03-21,-0.877,-0.4915340000000029,-1
2014-03-22,-1.017,-0.9312319999999975,-1
2014-03-24,-0.214,-0.12956799999999935,-1
2014-03-25,-0.776,-1.0263400000000054,-1
2014-03-26,-16.587,-11.110702000000064,-1
2014-03-28,-1.834,-1.2838019999999972,-1
2014-03-29,-6.241,-4.332931999999995,-1
2014-03-30,-0.787,-0.7406639999999969,-1
2014-04-01,-8.35,-5.230519999999971,-1
2014-04-05,-0.659,-0.265386000000001,-1
2014-04-06,-2.176,-1.787116000000005,-1
2014-04-07,0.925,-0.06627399999999993,-1
2014-04-09,-17.145,-10.861770000000062,-1
2014-04-12,-1.865,-0.8909560000000021,-1
2014-04-16,-5.954,-3.2345579999999807,-1
2014-04-17,-3.365,-1.524490000000004,-1
2014-04-19,-0.557,-0.3502199999999999,-1
2014-04-20,-0.692,-0.5964000000000017,-1
2014-04-21,-1.723,-1.1993640000000014,-1
2014-04-24,-7.325,-4.713460000000001,-1
2014-04-25,-1.544,-1.3187179999999952,-1
2014-04-26,-4.468,-2.763930000000005,-1
2014-05-01,-1.729,-1.1678940000000013,-1
2014-05-02,-2.932,-1.9969940000000068,-1
2014-05-03,-0.525,-0.3782860000000015,-1
2014-05-04,-0.993,-0.594985999999998,-1
2014-05-05,-0.511,-0.24043599999999954,-1
2014-05-10,-3.862,-2.3164219999999984,-1
2014-05-12,-0.516,-0.11763999999999927,-1
