d,lthSopr
2022-06-05,0.892
2022-06-06,0.855
2022-06-07,0.621
2022-06-08,0.938
2022-06-09,0.6
2022-06-10,0.944
2022-06-11,0.561
2022-06-12,0.872
2022-06-13,0.672
2022-06-14,0.552
2022-06-15,0.474
2022-06-16,0.579
2022-06-17,0.791
2022-06-18,0.55
2022-06-19,0.615
2022-06-20,0.664
2022-06-21,0.466
2022-06-22,0.6
2022-06-23,0.551
2022-06-24,0.682
2022-06-25,2.051
2022-06-26,0.72
2022-06-27,0.513
2022-06-28,0.669
2022-06-29,0.956
2022-06-30,0.489
2022-07-01,0.519
2022-07-02,0.51
2022-07-03,0.62
2022-07-04,0.628
2022-07-05,0.633
2022-07-06,0.491
2022-07-07,0.555
2022-07-08,0.697
2022-07-09,0.666
2022-07-10,0.607
2022-07-11,0.429
2022-07-12,0.643
2022-07-13,0.676
2022-07-14,0.491
2022-07-15,0.426
2022-07-16,0.864
2022-07-17,0.609
2022-07-18,0.658
2022-07-19,0.704
2022-07-20,0.86
2022-07-21,0.711
2022-07-22,0.387
2022-07-23,0.511
2022-07-24,0.548
2022-07-25,0.521
2022-07-26,0.788
2022-07-27,0.823
2022-07-28,0.619
2022-07-29,0.572
2022-07-30,0.835
2022-07-31,0.665
2022-08-01,0.633
2022-08-02,0.644
2022-08-03,0.671
2022-08-04,0.643
2022-08-05,0.581
2022-08-06,1.203
2022-08-07,0.889
2022-08-08,0.634
2022-08-09,0.468
2022-08-10,1.629
2022-08-11,0.587
2022-08-12,0.609
2022-08-13,0.62
2022-08-14,0.634
2022-08-15,0.58
2022-08-16,0.669
2022-08-17,0.508
2022-08-18,0.938
2022-08-19,0.564
2022-08-20,0.632
2022-08-21,0.598
2022-08-22,0.545
2022-08-23,0.668
2022-08-24,0.576
2022-08-25,0.598
2022-08-26,0.871
2022-08-27,0.66
2022-08-28,1.532
2022-08-29,1.395
2022-08-30,0.554
2022-08-31,0.551
2022-09-01,0.562
2022-09-02,0.559
2022-09-03,0.806
2022-09-04,2.181
2022-09-05,0.585
2022-09-06,0.56
2022-09-07,0.668
2022-09-08,0.497
2022-09-09,0.615
2022-09-10,0.666
2022-09-11,0.608
2022-09-12,0.58
2022-09-13,0.517
2022-09-14,0.481
2022-09-15,0.454
2022-09-16,0.512
2022-09-17,0.559
2022-09-18,0.514
2022-09-19,0.612
2022-09-20,0.59
2022-09-21,0.582
2022-09-22,0.574
2022-09-23,0.607
2022-09-24,0.627
2022-09-25,0.551
2022-09-26,0.653
2022-09-27,0.727
2022-09-28,0.458
2022-09-29,0.532
2022-09-30,0.516
2022-10-01,0.574
2022-10-02,0.567
2022-10-03,0.528
2022-10-04,0.52
2022-10-05,0.643
2022-10-06,0.601
2022-10-07,0.809
2022-10-08,0.427
2022-10-09,0.612
2022-10-10,0.471
2022-10-11,0.685
2022-10-12,0.602
2022-10-13,0.588
2022-10-14,0.584
2022-10-15,0.586
2022-10-16,0.606
2022-10-17,0.605
2022-10-18,1.437
2022-10-19,0.538
2022-10-20,0.51
2022-10-21,0.526
2022-10-22,0.559
2022-10-23,0.621
2022-10-24,0.66
2022-10-25,1.136
2022-10-26,0.585
2022-10-27,0.969
2022-10-28,0.612
2022-10-29,0.691
2022-10-30,0.507
2022-10-31,0.602
2022-11-01,0.556
2022-11-02,0.932
2022-11-03,0.731
2022-11-04,1.6
2022-11-05,0.85
2022-11-06,0.526
2022-11-07,0.429
2022-11-08,0.539
2022-11-09,0.439
2022-11-10,0.467
2022-11-11,0.804
2022-11-12,0.519
2022-11-13,0.481
2022-11-14,0.479
2022-11-15,0.46
2022-11-16,0.571
2022-11-17,0.37
2022-11-18,0.367
2022-11-19,0.452
2022-11-20,0.514
2022-11-21,0.426
2022-11-22,0.5
2022-11-23,1.403
2022-11-24,0.534
2022-11-25,0.532
2022-11-26,0.351
2022-11-27,0.525
2022-11-28,0.429
2022-11-29,0.619
2022-11-30,0.453
2022-12-01,0.648
2022-12-02,0.51
2022-12-03,0.498
2022-12-04,0.429
2022-12-05,0.415
2022-12-06,0.376
2022-12-07,0.717
2022-12-08,0.524
2022-12-09,0.489
2022-12-10,0.947
2022-12-11,0.527
2022-12-12,0.522
2022-12-13,0.458
2022-12-14,0.462
2022-12-15,0.562
2022-12-16,0.624
2022-12-17,0.56
2022-12-18,0.623
2022-12-19,0.511
2022-12-20,0.486
2022-12-21,0.47
2022-12-22,0.577
2022-12-23,0.688
2022-12-24,0.56
2022-12-25,0.425
2022-12-26,0.56
2022-12-27,0.442
2022-12-28,0.581
2022-12-29,0.523
