d,sthSopr
2010-07-17,
2010-07-18,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-25,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-07-31,
2010-08-01,
2010-08-02,
2010-08-03,
2010-08-05,
2010-08-06,
2010-08-07,
2010-08-08,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-14,
2010-08-15,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-21,
2025-01-19,
2025-01-20,
2025-03-30,
2011-11-16,0.3275421566
2011-11-09,0.4786684212
2011-10-14,0.5041066346
2011-10-15,0.5308321828
2012-01-01,0.5822976636
2011-10-16,0.6175334826
2011-10-17,0.6417022024
2011-10-18,0.7324072055
2014-10-06,0.7343971869
2011-07-21,0.7393393622
2011-10-22,0.7466272652
2014-04-05,0.7701762621
2015-01-21,0.7733601331
2018-02-07,0.7788368623
2021-06-25,0.8043496444
2013-12-22,0.8043934956
2013-12-19,0.8139938172
2014-04-11,0.8226109416
2014-02-22,0.8252601453
2018-12-18,0.8261570476
2014-03-31,0.8319853282
2014-04-01,0.8340991949
2018-02-06,0.834122591
2014-02-27,0.8343093457
2013-07-06,0.8415038709
2018-11-26,0.8439668258
2018-03-09,0.8443737168
2011-10-26,0.8450936824
2014-03-03,0.8488392483
2018-11-28,0.8497178164
2011-10-21,0.850840313
2014-02-25,0.8522629104
2013-04-13,0.8524518063
2020-04-01,0.8534770513
2015-01-14,0.854507502
2020-03-17,0.8546082361
2014-04-10,0.8550238934
2012-02-13,0.8555123267
2015-01-15,0.8589180432
2014-03-30,0.8614943657
2018-02-08,0.8624116921
2011-10-19,0.8630626857
2011-10-25,0.8642607108
2018-12-06,0.8644205419
2018-07-01,0.8669541132
2014-03-04,0.8669781008
2014-10-09,0.8709556998
2018-02-03,0.8723050415
2020-03-14,0.8724454889
2018-02-04,0.8728581221
2021-07-02,0.8729096002
2014-10-03,0.8746603279
2021-07-23,0.8750165765
2014-04-02,0.8771002021
2022-06-16,0.8775425088
2011-11-11,0.8775752502
2011-11-15,0.8780675597
2022-02-01,0.8799864039
2013-07-05,0.8802783396
2014-02-19,0.8804488021
2011-10-27,0.880509988
2015-01-31,0.8809107763
2015-01-05,0.8810530584
2018-03-16,0.8815112644
2018-04-07,0.8819128928
2011-10-29,0.8821289759
2018-02-02,0.8822015192
2019-12-18,0.8822258359
2022-07-15,0.8831361481
2011-11-10,0.883346868
2018-11-27,0.8834969522
2020-03-16,0.8838881986
2019-11-05,0.8839536305
2011-10-24,0.8861315929
2018-12-05,0.8861799478
2014-04-09,0.8870131219
2021-05-20,0.8876493507
2018-03-31,0.8878141393
2013-05-16,0.888023955
2022-05-13,0.8883185111
2022-07-09,0.8883959681
2020-03-20,0.8894078817
2012-01-03,0.8895399223
2014-04-04,0.8898480434
2022-06-14,0.8903361643
2018-03-29,0.8907017344
2018-03-19,0.8911271793
2013-05-04,0.8917461837
2014-04-20,0.891752059
2014-11-04,0.8922690548
2019-12-25,0.8932050882
2022-07-06,0.8934520756
2019-01-15,0.8936182595
2018-04-11,0.8938312451
2014-10-15,0.8940696469
2011-11-01,0.8942721331
2018-12-16,0.894355885
2018-04-06,0.8946220786
2011-11-26,0.8951058818
2018-02-05,0.8952989525
2011-11-07,0.8956559079
2018-12-11,0.8958241884
2014-12-30,0.8958537688
2018-03-10,0.8960655342
2011-10-28,0.8963176688
2018-03-30,0.8965873855
2018-04-12,0.8966399755
2018-12-08,0.8968084661
2014-08-28,0.8969687073
2022-06-20,0.8973096193
2013-07-07,0.8975533445
2021-05-25,0.8982717098
2019-11-26,0.8996488473
2014-04-03,0.9004422371
2018-01-18,0.9004843707
2014-03-01,0.9009052156
2011-11-08,0.9010466141
2014-05-06,0.9012010828
2018-12-17,0.9013173771
2018-11-25,0.9016828745
2014-02-18,0.9018323354
2013-12-20,0.9020197282
2013-12-09,0.902988609
2015-02-11,0.9033438409
2022-01-29,0.9039008605
2013-07-08,0.9044077706
2018-04-03,0.9045415437
2014-04-12,0.9048568416
2018-11-24,0.9049773145
2022-10-12,0.9050998094
2014-04-06,0.9055404965
2022-06-30,0.9057550265
2015-03-09,0.9059324826
2014-03-29,0.9059619694
2018-06-13,0.9060006465
2013-07-04,0.9061505861
2013-05-14,0.9066889431
2018-04-02,0.9067641999
2014-05-14,0.9075703477
2018-04-01,0.9077736118
2018-07-08,0.9083250515
2015-01-19,0.9086107942
2011-11-06,0.9088765931
2013-06-11,0.9091424267
2015-01-06,0.9094244247
2022-05-11,0.9095520161
2018-11-21,0.9096862231
2014-09-30,0.9098029772
2014-04-15,0.9098987304
2021-06-23,0.9099831332
2021-06-10,0.9102336426
2012-01-17,0.9102652168
2018-12-12,0.9103106137
2022-12-19,0.9106092211
2014-03-28,0.9111317548
2011-10-30,0.9112947899
2014-05-05,0.9113782616
2020-04-10,0.9114844414
2018-12-07,0.9117667943
2017-07-17,0.9121328453
2018-11-22,0.9122034075
2015-01-09,0.9125942976
2014-12-29,0.9127616376
2014-10-05,0.9128426045
2012-01-28,0.9130133612
2020-03-15,0.9138248067
2013-06-17,0.9139059728
2015-01-16,0.9142298201
2014-04-14,0.9143695448
2018-02-01,0.9148549646
2014-12-19,0.9150593523
2015-01-18,0.9152417813
2015-01-07,0.9155614887
2022-01-24,0.9159540377
2018-12-09,0.9163026203
2014-08-18,0.9165458633
2015-02-02,0.9168760104
2014-09-18,0.9170058057
2014-11-03,0.9171719489
2018-03-18,0.9172477389
2018-12-28,0.9172586436
2019-11-27,0.9172723036
2022-02-25,0.9172911912
2019-09-26,0.9173248804
2021-05-24,0.917535164
2018-04-05,0.9177060897
2015-01-30,0.9177702415
2013-05-11,0.9178578047
2020-03-19,0.918400113
2014-02-26,0.9184747916
2018-04-08,0.9189096227
2014-09-20,0.9189458869
2019-10-24,0.9190724953
2018-05-28,0.919201794
2022-06-18,0.9192291196
2013-05-05,0.9192302478
2014-09-29,0.919485778
2022-06-15,0.9195594168
2011-11-02,0.9196071044
2018-03-28,0.9197905312
2011-10-23,0.9198097911
2019-01-14,0.9203388558
2011-11-14,0.9204804968
2021-05-19,0.920481401
2014-10-31,0.9204850008
2014-02-15,0.9205084403
2015-02-07,0.9206475408
2013-04-18,0.9213504728
2021-07-21,0.9215316291
2018-12-10,0.9216594433
2022-06-24,0.9220815174
2018-12-15,0.9220880227
2022-06-13,0.9220939478
2022-11-11,0.9221661208
2021-05-23,0.9226499375
2011-12-14,0.9226541046
2013-07-03,0.9227325652
2018-11-30,0.9228981968
2022-01-28,0.9230212419
2015-01-20,0.9232050171
2018-06-24,0.9232149633
2014-11-02,0.923452415
2021-06-08,0.9238042594
2014-09-23,0.923898617
2014-10-27,0.9239218839
2022-11-17,0.9239551993
2011-11-05,0.9240563975
2022-07-01,0.9241908823
2014-10-04,0.9242827562
2018-03-12,0.9243024116
2018-12-19,0.9243805615
2021-06-01,0.92491157
2014-03-20,0.9251119524
2018-12-13,0.9253527375
2013-07-20,0.9255290746
2019-10-01,0.9255301658
2022-05-09,0.9255557291
2011-12-24,0.92564879
2011-11-03,0.9260424711
2021-05-21,0.9263582828
2011-11-28,0.926439724
