fecha_hora,archivo,formato,status
2025-07-19 22:31:02,top_holders,csv,guardado
2025-07-19 22:31:10,top_holders,xlsx,guardado
2025-07-19 22:31:11,top_holders,parquet,guardado
2025-07-19 22:32:19,top_flow,csv,guardado
2025-07-19 22:32:20,top_flow,xlsx,guardado
2025-07-19 22:32:22,top_flow,parquet,guardado
2025-07-19 22:32:24,trending,csv,guardado
2025-07-19 22:32:25,trending,xlsx,guardado
2025-07-19 22:32:26,trending,parquet,guardado
2025-07-19 22:32:28,top_volume,csv,guardado
2025-07-19 22:32:30,top_volume,xlsx,guardado
2025-07-19 22:32:31,top_volume,parquet,guardado
