estadistica,valor,token_symbol
Precio inicial,101257.16,btc
Precio promedio a 270 días,268683.791151344,btc
Mediana a 270 días,199804.37062903837,btc
Moda,248750.0,btc
Desviación estándar,243724.88541307536,btc
Rango (min - max),9812.40 - 4784077.17,btc
Percentil 5 (escenario de riesgo),54781.67653784871,btc
Percentil 95 (escenario alcista),697400.8968855285,btc
Precio inicial,3278.149169921875,eth
Precio promedio a 270 días,5376.637172390905,eth
Mediana a 270 días,4100.13763853803,eth
Moda,2060.0,eth
Desviación estándar,4630.559122737731,eth
Rango (min - max),224.33 - 87335.65,eth
Percentil 5 (escenario de riesgo),1183.758605450001,eth
Percentil 95 (escenario alcista),14081.500263056472,eth
Precio inicial,14.730270385742188,link
Precio promedio a 270 días,35.90694259467976,link
Mediana a 270 días,21.133139341499806,link
Moda,10.0,link
Desviación estándar,45.22839114133066,link
Rango (min - max),0.29 - 743.19,link
Percentil 5 (escenario de riesgo),3.8960601814985503,link
Percentil 95 (escenario alcista),116.15904327139907,link
Precio inicial,197.25534057617188,aave
Precio promedio a 270 días,-9.092275475649286e+62,aave
Mediana a 270 días,-3.751998756666577e+19,aave
Moda,-6.636606127728793e+67,aave
Desviación estándar,8.76410881262527e+65,aave
Rango (min - max),-66366061277287927862059358966950454136444866641485336045003378524160.00 - 57240840976484393824754340210812445921628849048364997743124733231104.00,aave
Percentil 5 (escenario de riesgo),-1.6593241697189502e+50,aave
Percentil 95 (escenario alcista),5.495551671390996e+49,aave
