inUSD,outUSD,differentUSD,inValue,outValue,differentValue,time,token_name
3787859795.1278286,2995441383.9692526,792418411.158576,32725.62157766,25879.43759585,6846.183981810002,2025-08-01T00:00:00Z,bitcoin
2375815777.527378,1921148971.962753,454666805.564625,20674.90864852,16718.29098503,3956.6176634900003,2025-08-05T00:00:00Z,bitcoin
1234079997.5822778,1152808280.409168,81271717.17310977,10590.77956114,9893.31193925,697.4676218900004,2025-08-10T00:00:00Z,bitcoin
4124623997.6811886,3866373251.3463736,258250746.33481503,34535.04473371,32372.73828294,2162.3064507699964,2025-07-28T00:00:00Z,bitcoin
914099868.6599215,2140669884.2868526,-1226570015.6269312,7782.95148243,18226.37812401,-10443.42664158,2025-08-17T00:00:00Z,bitcoin
2802141268.251897,3282312562.827039,-480171294.5751419,24763.74237331,29007.22515865,-4243.482785339998,2025-08-20T00:00:00Z,bitcoin
1006686670.436762,1098390177.1825702,-91703506.74580824,8572.28824828,9353.17560508,-780.8873567999999,2025-08-16T00:00:00Z,bitcoin
2879784931.8803287,3364437798.24026,-484652866.35993147,24530.31109722,28658.63521419,-4128.324116969998,2025-08-08T00:00:00Z,bitcoin
3203186989.9868655,2776780631.2130256,426406358.77383995,26982.38615485,23390.50685861,3591.8792962400003,2025-07-24T00:00:00Z,bitcoin
2783847033.1868887,2473063234.0222607,310783799.164628,23626.96399904,20989.29118627,2637.6728127700007,2025-07-30T00:00:00Z,bitcoin
3703725940.548047,3780522941.257014,-76797000.70896673,31338.64093742,31988.44971618,-649.808778759998,2025-07-29T00:00:00Z,bitcoin
982323095.0953593,988464572.8145992,-6141477.719239831,8672.02026127,8726.23767658,-54.21741531000043,2025-08-02T00:00:00Z,bitcoin
965036776.535805,1137097504.898604,-172060728.36279893,8571.01930436,10099.18471751,-1528.16541315,2025-08-03T00:00:00Z,bitcoin
3516627210.129525,2886181561.3874736,630445648.7420516,30642.51727586,25149.05990073,5493.457375129998,2025-08-04T00:00:00Z,bitcoin
2120111631.7040465,2350600767.222844,-230489135.51879764,18580.84548653,20600.87261593,-2020.0271293999976,2025-08-06T00:00:00Z,bitcoin
2010191987.748768,2315362491.9532137,-305170504.2044456,17480.8423722,20134.63738937,-2653.7950171699995,2025-08-07T00:00:00Z,bitcoin
1128164554.9670656,1044012700.4134173,84151854.55364823,9667.88258807,8946.7375691,721.1450189700008,2025-08-09T00:00:00Z,bitcoin
7742881277.287315,6351821159.708542,1391060117.5787735,65507.16399705,53738.36631197,11768.797685079997,2025-07-25T00:00:00Z,bitcoin
3559051298.390218,4275922215.2926316,-716870916.9024138,28816.82912887,34621.16994553,-5804.340816659998,2025-08-14T00:00:00Z,bitcoin
3219668796.381823,3514967288.784398,-295298492.402575,26807.7866845,29266.5175333,-2458.7308488000017,2025-08-13T00:00:00Z,bitcoin
3542098808.3563066,3382697371.9580617,159401436.39824486,29725.31959581,28387.62155368,1337.6980421299995,2025-08-11T00:00:00Z,bitcoin
3208939477.2247186,3476808004.1774526,-267868526.952734,27016.73298667,29271.97417136,-2255.241184690003,2025-08-12T00:00:00Z,bitcoin
4093450910.8521876,3433750179.6923814,659700731.1598063,35195.52654938,29523.41392269,5672.112626690003,2025-08-19T00:00:00Z,bitcoin
